symbol,exchange,date,open,high,low,close,volume
JPM,XNYS,2025-07-21T00:00:00+00:00,290.945,294.18,290.58,290.97,7898141
JPM,XNYS,2025-07-22T00:00:00+00:00,291.5,293.625,289.18,291.43,6717461
JPM,XNYS,2025-07-23T00:00:00+00:00,292.84,296.99,292.55,296.76,7083510
JPM,XNYS,2025-07-24T00:00:00+00:00,297.42,299.5899,296.2,296.55,7001242
JPM,XNYS,2025-07-25T00:00:00+00:00,296.7,298.9,295.955,298.62,5918875
JPM,XNYS,2025-07-28T00:00:00+00:00,297.7,299.43,296.82,298.28,5840417
JPM,XNYS,2025-07-29T00:00:00+00:00,300.0,301.2931,296.2,297.04,7635719
JPM,XNYS,2025-07-30T00:00:00+00:00,297.42,300.61,297.38,299.63,8061742
JPM,XNYS,2025-07-31T00:00:00+00:00,298.5,300.975,295.5,296.24,14749652
JPM,XNYS,2025-08-01T00:00:00+00:00,290.4,291.795,284.2376,289.37,12007111
JPM,XNYS,2025-08-04T00:00:00+00:00,290.725,294.32,290.26,294.26,6649542
JPM,XNYS,2025-08-05T00:00:00+00:00,294.69,295.785,287.24,291.37,7182333
JPM,XNYS,2025-08-06T00:00:00+00:00,292.045,293.29,290.16,291.35,6330155
JPM,XNYS,2025-08-07T00:00:00+00:00,292.94,293.46,286.41,286.94,8057109
JPM,XNYS,2025-08-08T00:00:00+00:00,288.98,291.23,284.706,288.76,6634506
JPM,XNYS,2025-08-11T00:00:00+00:00,289.34,291.32,288.78,289.56,5510113
JPM,XNYS,2025-08-12T00:00:00+00:00,291.48,294.75,290.34,292.85,8572034
MSFT,XNAS,2025-05-15T00:00:00+00:00,450.765,456.19,450.4301,453.13,21992323
MSFT,XNAS,2025-05-16T00:00:00+00:00,452.05,454.36,448.73,454.27,23849781
MSFT,XNAS,2025-05-19T00:00:00+00:00,450.875,459.585,450.8,458.87,21336509
MSFT,XNAS,2025-05-20T00:00:00+00:00,455.59,458.34,454.3201,458.17,15441808
MSFT,XNAS,2025-05-21T00:00:00+00:00,454.57,457.78,451.814,452.57,19216906
MSFT,XNAS,2025-05-22T00:00:00+00:00,454.95,460.25,453.9,454.86,18025612
MSFT,XNAS,2025-05-23T00:00:00+00:00,449.98,453.69,448.91,450.18,16883509
MSFT,XNAS,2025-05-27T00:00:00+00:00,456.48,460.95,456.115,460.69,20974293
MSFT,XNAS,2025-05-28T00:00:00+00:00,461.22,462.52,456.93,457.36,17086261
MSFT,XNAS,2025-05-29T00:00:00+00:00,461.55,461.72,455.3105,458.68,13982211
MSFT,XNAS,2025-05-30T00:00:00+00:00,459.715,461.68,455.54,460.36,34770475
MSFT,XNAS,2025-06-02T00:00:00+00:00,457.14,462.11,456.89,461.97,16626495
MSFT,XNAS,2025-06-03T00:00:00+00:00,461.47,464.14,460.8622,462.97,15743760
MSFT,XNAS,2025-06-04T00:00:00+00:00,464.0,465.69,463.0201,463.87,14162688
MSFT,XNAS,2025-06-05T00:00:00+00:00,464.955,469.65,464.03,467.68,20154460
MSFT,XNAS,2025-06-06T00:00:00+00:00,470.085,473.335,468.78,470.38,15285624
MSFT,XNAS,2025-06-09T00:00:00+00:00,469.7,473.43,468.62,472.75,16469932
MSFT,XNAS,2025-06-10T00:00:00+00:00,471.185,472.8,466.96,470.92,15375944
MSFT,XNAS,2025-06-11T00:00:00+00:00,470.02,475.47,469.655,472.62,16399176
MSFT,XNAS,2025-06-12T00:00:00+00:00,475.02,480.415,473.52,478.87,18950582
MSFT,XNAS,2025-06-13T00:00:00+00:00,476.41,479.18,472.76,474.96,16814456
